,Pin,Dispatch Center,Origin Center,Return Center,Facility City,Facility State,ODA
123,271208,Balrampur_Tulsipur_D (Uttar Pradesh),Balrampur_Tulsipur_D (Uttar Pradesh),Balrampur_Tulsipur_D (Uttar Pradesh),Balrampur,Uttar Pradesh,TRUE
124,422401,Nashik_Satpurcolony_H (Maharashtra),Nashik_Satpurcolony_H (Maharashtra),Nashik_Satpurcolony_H (Maharashtra),Nashik,Maharashtra,TRUE
125,314022,Salumbar_Punjpur_D (Rajasthan),Salumbar_Punjpur_D (Rajasthan),Salumbar_Punjpur_D (Rajasthan),Salumbar,Rajasthan,TRUE
126,122008,Gurgaon_Sector17_L (Haryana),Gurgaon_Sector17_L (Haryana),Gurgaon_Sector17_L (Haryana),Gurgaon,Haryana,FALSE
127,679314,Sankaramangalam_Pattithara_D (Kerala),Sankaramangalam_Pattithara_D (Kerala),Sankaramangalam_Pattithara_D (Kerala),Sankaramangalam,Kerala,FALSE
128,321406,Weir_Bhusawar_DPP (Rajasthan),Weir_Bhusawar_DPP (Rajasthan),Weir_Bhusawar_DPP (Rajasthan),Weir,Rajasthan,TRUE
129,342801,KalyanpurRJ_Rawla_D (Rajasthan),KalyanpurRJ_Rawla_D (Rajasthan),KalyanpurRJ_Rawla_D (Rajasthan),Kalyanpur-RJ,Rajasthan,TRUE
130,606102,Ulundurpet_SubamNagar_D (Tamil Nadu),Ulundurpet_SubamNagar_D (Tamil Nadu),Ulundurpet_SubamNagar_D (Tamil Nadu),Ulundurpet,Tamil Nadu,TRUE
131,628653,Thisynvilai_Kerikrnthtu_D (Tamil Nadu),Thisynvilai_Kerikrnthtu_D (Tamil Nadu),Thisynvilai_Kerikrnthtu_D (Tamil Nadu),Thisayanvilai,Tamil Nadu,TRUE
132,627770,Sankaran_Kovil_D (Tamil Nadu),Sankaran_Kovil_D (Tamil Nadu),Sankaran_Kovil_D (Tamil Nadu),Sankarankovil,Tamil Nadu,TRUE
133,331504,Ratangarh_Goldencolony_D (Rajasthan),Ratangarh_Goldencolony_D (Rajasthan),Ratangarh_Goldencolony_D (Rajasthan),Ratangarh,Rajasthan,TRUE
